192.168.1.27 - - [17/Jun/2016:12:43:54 +0100] "GET /FinalProjectSportingGood-v1/css/images/bullet.gif HTTP/1.1" 404 1092
192.168.1.27 - - [17/Jun/2016:12:43:54 +0100] "GET /FinalProjectSportingGood-v1/css/images/controls.png HTTP/1.1" 404 1096
192.168.1.27 - - [17/Jun/2016:12:43:54 +0100] "GET /FinalProjectSportingGood-v1/css/images/bx_loader.gif HTTP/1.1" 404 1098
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/women.jsp HTTP/1.1" 200 6121
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/css/gear.css HTTP/1.1" 200 107
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/13.jpg HTTP/1.1" 200 7621
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/12.jpg HTTP/1.1" 200 33321
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/14.jpg HTTP/1.1" 200 17904
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/17.jpg HTTP/1.1" 200 9794
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/16.jpg HTTP/1.1" 200 13607
192.168.1.27 - - [17/Jun/2016:12:43:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/15.jpg HTTP/1.1" 200 9523
192.168.1.27 - - [17/Jun/2016:12:44:08 +0100] "GET /FinalProjectSportingGood-v1/women.jsp HTTP/1.1" 200 6121
192.168.1.27 - - [17/Jun/2016:12:44:10 +0100] "GET /FinalProjectSportingGood-v1/ShowDetailsServelt?type=women&pid=12 HTTP/1.1" 302 -
192.168.1.27 - - [17/Jun/2016:12:44:10 +0100] "GET /FinalProjectSportingGood-v1/WomenModal.jsp HTTP/1.1" 200 996
192.168.1.27 - - [17/Jun/2016:12:44:34 +0100] "GET /FinalProjectSportingGood-v1/men.jsp HTTP/1.1" 200 5889
192.168.1.27 - - [17/Jun/2016:12:45:07 +0100] "GET /FinalProjectSportingGood-v1/AboutUs.jsp HTTP/1.1" 200 1446
192.168.1.27 - - [17/Jun/2016:12:45:08 +0100] "GET /FinalProjectSportingGood-v1/css/images/bullet.gif HTTP/1.1" 404 1092
192.168.1.27 - - [17/Jun/2016:12:45:08 +0100] "GET /FinalProjectSportingGood-v1/css/images/bx_loader.gif HTTP/1.1" 404 1098
192.168.1.27 - - [17/Jun/2016:12:45:08 +0100] "GET /FinalProjectSportingGood-v1/css/images/controls.png HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [17/Jun/2016:12:50:09 +0100] "GET /FinalProjectSportingGood-v1/Equipment.jsp HTTP/1.1" 200 6067
0:0:0:0:0:0:0:1 - - [17/Jun/2016:12:50:09 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/35.jpg HTTP/1.1" 200 13614
0:0:0:0:0:0:0:1 - - [17/Jun/2016:12:50:09 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/36.jpg HTTP/1.1" 200 13418
0:0:0:0:0:0:0:1 - - [17/Jun/2016:12:50:09 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/37.jpg HTTP/1.1" 200 11803
0:0:0:0:0:0:0:1 - - [17/Jun/2016:12:50:09 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/39.jpg HTTP/1.1" 200 13890
0:0:0:0:0:0:0:1 - - [17/Jun/2016:12:50:09 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/40.jpg HTTP/1.1" 200 17585
