172.16.100.57 - - [27/Apr/2016:16:38:49 +0100] "GET /FinalProjectSportingGood-v1/css/images/bullet.gif HTTP/1.1" 404 1092
172.16.100.57 - - [27/Apr/2016:16:38:49 +0100] "GET /FinalProjectSportingGood-v1/css/images/bx_loader.gif HTTP/1.1" 404 1098
172.16.100.57 - - [27/Apr/2016:16:38:49 +0100] "GET /FinalProjectSportingGood-v1/css/images/controls.png HTTP/1.1" 404 1096
172.16.100.57 - - [27/Apr/2016:16:39:35 +0100] "POST /FinalProjectSportingGood-v1/UploadFile.jsp HTTP/1.1" 200 179
172.16.100.57 - - [27/Apr/2016:16:39:54 +0100] "GET /FinalProjectSportingGood-v1/createProduct.jsp HTTP/1.1" 200 4555
172.16.100.57 - - [27/Apr/2016:16:40:39 +0100] "GET /FinalProjectSportingGood-v1/gear.jsp HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/men.jsp HTTP/1.1" 200 5870
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/27.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:41:58 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/29.jpg HTTP/1.1" 304 -
172.16.100.57 - - [27/Apr/2016:16:41:59 +0100] "GET /FinalProjectSportingGood-v1/ShowDetailsServelt?type=gear&pid=3 HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:41:59 +0100] "GET /FinalProjectSportingGood-v1/Modal.jsp HTTP/1.1" 200 850
172.16.100.57 - - [27/Apr/2016:16:42:00 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/3.jpg HTTP/1.1" 200 14763
172.16.100.57 - - [27/Apr/2016:16:42:07 +0100] "GET /FinalProjectSportingGood-v1/createProduct.jsp HTTP/1.1" 200 4555
172.16.100.57 - - [27/Apr/2016:16:42:10 +0100] "GET /FinalProjectSportingGood-v1/AboutUs.jsp HTTP/1.1" 200 1446
172.16.100.57 - - [27/Apr/2016:16:42:16 +0100] "GET /FinalProjectSportingGood-v1/women.jsp HTTP/1.1" 200 6038
172.16.100.57 - - [27/Apr/2016:16:42:16 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/13.jpg HTTP/1.1" 200 7621
172.16.100.57 - - [27/Apr/2016:16:42:17 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/15.jpg HTTP/1.1" 200 9523
172.16.100.57 - - [27/Apr/2016:16:42:17 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/17.jpg HTTP/1.1" 200 9794
172.16.100.57 - - [27/Apr/2016:16:42:17 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/12.jpg HTTP/1.1" 200 33321
172.16.100.57 - - [27/Apr/2016:16:42:17 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/16.jpg HTTP/1.1" 200 13607
172.16.100.57 - - [27/Apr/2016:16:42:17 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/14.jpg HTTP/1.1" 200 17904
172.16.100.57 - - [27/Apr/2016:16:42:27 +0100] "GET /FinalProjectSportingGood-v1/showCart HTTP/1.1" 200 4266
172.16.100.57 - - [27/Apr/2016:16:42:28 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/26.jpg HTTP/1.1" 200 13715
172.16.100.57 - - [27/Apr/2016:16:42:28 +0100] "GET /FinalProjectSportingGood-v1/js/updateQuantity.js HTTP/1.1" 200 744
172.16.100.57 - - [27/Apr/2016:16:42:40 +0100] "GET /FinalProjectSportingGood-v1/UpdateServlet?orderID=69&quantity=8 HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:42:40 +0100] "GET /FinalProjectSportingGood-v1/showCart HTTP/1.1" 200 4266
